コード,企業名,株価,時価総額（億）,発行済株式数,売上高（百万）,粗利益,営業利益,当期利益,総資産,総負債,純資産,EPS,配当金,配当利回り,PER,益回り,PBR,PBR逆数,ROE,ROA,自己資本比率,ROEx益回りx自己資本,ROE+益回り+自己資本,ROExPBR逆数x自己資本,ROE+PBR逆数+自己資本
1429,日本アクア,611,197,32302400,23903000000.0,4739000000.0,1412000000.0,953000000.0,18279000000.0,10328000000.0,7951000000.0,29.5,0,0.0,20.71,4.8,2.48,40.32,12.0,5.2,43.5,2506,60.3,21047,95.8
1430,ファーストコーポレーション,721,89,12363500,30178000000.0,3171000000.0,1919000000.0,1269000000.0,17811000000.0,10882000000.0,6929000000.0,102.64,0,0.0,7.02,14.2,1.29,77.52,18.3,7.1,38.9,10109,71.4,55184,134.7
1431,Ｌｉｂ　Ｗｏｒｋ,751,170,22586200,9404000000.0,2502000000.0,487000000.0,336000000.0,7604000000.0,4233000000.0,3371000000.0,14.88,0,0.0,50.47,2.0,5.03,19.88,10.0,4.4,44.3,886,56.3,8807,74.2
1433,ベステラ,1148,99,8594710,5966000000.0,1357000000.0,608000000.0,1467000000.0,9020000000.0,4667000000.0,4352000000.0,170.69,0,0.0,6.73,14.9,2.27,44.05,33.7,16.3,48.2,24203,96.8,71552,126.0
1434,ＪＥＳＣＯホールディングス,484,32,6651520,9268000000.0,1383000000.0,560000000.0,463000000.0,11795000000.0,7802000000.0,3789000000.0,69.61,0,0.0,6.95,14.4,0.85,117.65,12.2,3.9,32.1,5639,58.7,46074,162.0
1435,Ｒｏｂｏｔ　Ｈｏｍｅ,201,182,90365400,4090000000.0,2363000000.0,300000000.0,373000000.0,9905000000.0,2379000000.0,7526000000.0,4.13,0,0.0,48.67,2.1,2.41,41.49,5.0,3.8,76.0,798,83.1,15766,122.5
1436,フィット,745,31,4189630,7186000000.0,1948000000.0,478000000.0,282000000.0,10715000000.0,6244000000.0,4467000000.0,67.31,0,0.0,11.07,9.0,0.7,142.86,6.3,2.6,41.7,2364,57.0,37531,190.9
1439,安江工務店,900,12,1293950,6913000000.0,2197000000.0,208000000.0,90000000.0,4175000000.0,2676000000.0,1499000000.0,69.55,0,0.0,12.94,7.7,0.78,128.21,6.0,2.2,35.9,1659,49.6,27616,170.1
1443,技研ホールディングス,212,34,16237000,8179000000.0,1875000000.0,983000000.0,466000000.0,15975000000.0,6091000000.0,9884000000.0,28.7,0,0.0,7.39,13.5,0.35,285.71,4.7,2.9,61.9,3928,80.1,83122,352.3
1446,キャンディル,575,53,9154200,11220000000.0,4074000000.0,64000000.0,-72000000.0,7366000000.0,4106000000.0,3260000000.0,-7.87,0,0.0,-73.06,-1.4,1.61,62.11,0,-1.0,44.3,0,42.9,0,106.4
1447,ＩＴｂｏｏｋホールディングス,458,99,21558500,26286000000.0,6519000000.0,100000000.0,-935000000.0,18228000000.0,15801000000.0,2097000000.0,-43.37,0,0.0,-10.56,-9.5,4.71,21.23,0,-5.1,11.5,0,2.0,0,32.7
1450,田中建設工業,2040,89,4349490,9824000000.0,2138000000.0,1418000000.0,967000000.0,7050000000.0,1611000000.0,5439000000.0,222.32,0,0.0,9.18,10.9,1.63,61.35,17.8,13.7,77.1,14959,105.8,84196,156.2
1451,ＫＨＣ,606,24,3961320,11888000000.0,2113000000.0,568000000.0,340000000.0,14898000000.0,8978000000.0,5920000000.0,85.83,0,0.0,7.06,14.2,0.41,243.9,5.7,2.3,39.7,3213,59.6,55192,289.3
1491,中外鉱業,31,89,288216000,51590000000.0,2361000000.0,587000000.0,546000000.0,9833000000.0,2766000000.0,7067000000.0,1.89,0,0.0,16.4,6.1,1.26,79.37,7.7,5.6,71.9,3377,85.7,43942,159.0
1514,住石ホールディングス,239,131,54719900,12404000000.0,3461000000.0,2343000000.0,2267000000.0,21575000000.0,4223000000.0,17352000000.0,41.43,0,0.0,5.77,17.3,0.75,133.33,13.1,10.5,80.4,18221,110.8,140428,226.8
1515,日鉄鉱業,5560,463,8318820,149082000000.0,34865000000.0,15624000000.0,9279000000.0,197732000000.0,71362000000.0,120073000000.0,1115.42,0,0.0,4.98,20.1,0.39,256.41,7.7,4.7,60.7,9395,88.5,119843,324.8
1518,三井松島ホールディングス,3775,491,13006800,46592000000.0,16408000000.0,8417000000.0,5396000000.0,67837000000.0,32301000000.0,35434000000.0,414.86,0,0.0,9.1,11.0,1.39,71.94,15.2,8.0,52.2,8728,78.4,57080,139.3
1605,ＩＮＰＥＸ,1484,20720,1396240000,1244369000000.0,675448000000.0,590657000000.0,223048000000.0,5158196000000.0,1811787000000.0,3124065000000.0,159.75,0,0.0,9.29,10.8,0.66,151.52,7.1,4.3,60.6,4647,78.5,65193,219.2
1662,石油資源開発,3400,1934,56893200,249140000000.0,49903000000.0,19810000000.0,-30988000000.0,471941000000.0,69172000000.0,371638000000.0,-544.67,0,0.0,-6.24,-16.0,0.52,192.31,0,-6.6,78.7,0,62.7,0,271.0
1663,Ｋ＆Ｏエナジーグループ,1515,402,26548500,66070000000.0,13460000000.0,3951000000.0,2846000000.0,99096000000.0,16980000000.0,78612000000.0,107.2,0,0.0,14.13,7.1,0.51,196.08,3.6,2.9,79.3,2027,90.0,55977,279.0
1711,ＳＤＳホールディングス,457,29,6417410,1034000000.0,173000000.0,-261000000.0,-333000000.0,921000000.0,325000000.0,596000000.0,-51.89,0,0.0,-8.81,-11.4,4.92,20.33,0,-36.2,64.7,0,53.3,0,85.0
1712,ダイセキ環境ソリューション,836,140,16799300,17082000000.0,3703000000.0,2102000000.0,1252000000.0,21279000000.0,6054000000.0,14348000000.0,74.53,0,0.0,11.22,8.9,0.98,102.04,8.7,5.9,67.4,5219,85.0,59834,178.1
1716,第一カッター興業,1354,154,11383100,19337000000.0,6313000000.0,2760000000.0,1743000000.0,17991000000.0,3671000000.0,13629000000.0,153.12,0,0.0,8.84,11.3,1.13,88.5,12.8,9.7,75.8,10964,99.9,85866,177.1
1717,明豊ファシリティワークス,683,78,11374500,4260000000.0,2282000000.0,866000000.0,606000000.0,5718000000.0,1435000000.0,4283000000.0,53.28,0,0.0,12.82,7.8,1.81,55.25,14.1,10.6,74.9,8238,96.8,58349,144.2
1718,美樹工業,4000,44,1093180,26370000000.0,5907000000.0,1267000000.0,731000000.0,30561000000.0,14678000000.0,13977000000.0,668.69,0,0.0,5.98,16.7,0.31,322.58,5.2,2.4,45.7,3969,67.6,76658,373.5
1719,安藤・間,857,1532,178806000,340293000000.0,46862000000.0,26601000000.0,17671000000.0,295332000000.0,153651000000.0,140920000000.0,98.83,0,0.0,8.67,11.5,1.09,91.74,12.5,6.0,47.7,6857,71.7,54700,151.9
1720,東急建設,633,662,104649000,258083000000.0,9716000000.0,-6078000000.0,-7459000000.0,237811000000.0,144748000000.0,92489000000.0,-71.28,0,0.0,-8.88,-11.3,0.72,138.89,0,-3.1,38.9,0,27.6,0,177.8
